date,avg_polarity,std_polarity,article_count,avg_vader_compound,std_vader_compound,positive_ratio,close,high,low,open,volume,daily_return
2011-04-27,0.0,,1,0.0,,0.0,20.28217124938965,20.289859890828883,20.089959612783968,20.220663584334165,52689000,
2011-04-28,0.0682,0.0964,2,0.125,0.1768,0.5,20.53589630126953,20.65891313228462,20.297554215749116,20.34368461084301,80200000,1.2509757893278683
2011-04-29,0.1667,0.4714,2,0.3676,0.5198,0.5,19.92849922180176,20.482068115075247,19.4979456381446,20.41287182010879,319317900,-2.9577334758464913
2011-05-02,-0.0093,0.0278,9,0.1364,0.1624,0.0,19.72860717773437,19.990015185944195,19.590214530275205,19.943884792277395,89825600,-1.003046149349307
2011-05-03,0.0,0.0,3,0.0,0.0,0.0,19.843923568725582,19.87467812613854,19.597892975253995,19.68246654168161,71892900,0.584513594661451
2011-05-05,0.0,0.0,3,-0.0427,0.0739,0.0,19.828556060791016,20.05152082958183,19.74398245894349,20.028454901861966,55600000,-1.0360497407448155
2011-05-06,0.1667,0.2887,3,0.0674,0.1168,0.3333,19.890064239501957,20.15915940410043,19.79780199274057,20.043832695492704,55993000,0.3101999889571827
2011-05-09,0.0455,0.0787,3,-0.2229,0.3861,0.3333,19.859302520751957,19.959251907849644,19.736287213651043,19.83623660074873,38696400,-0.15465871994976288
2011-05-11,-0.0292,0.0505,3,0.1967,0.1762,0.0,19.49795150756836,19.728604915917508,19.38262333693518,19.72091627344472,78600000,-1.2076821982338393
2011-05-12,0.5,,1,0.2023,,1.0,19.467193603515625,19.52101262514889,19.298047897459877,19.490259526983465,77400000,-0.15774941301293088
2011-05-13,-0.0778,0.0898,4,0.1855,0.2157,0.0,19.244230270385746,19.4671950142322,19.182722603139293,19.436441913838205,66812300,-1.14532858547014
2011-05-16,0.0,0.0,4,0.0,0.0,0.0,18.89056205749512,19.27498538456326,18.83674302633896,19.190411783341517,91350900,-1.837788302891341
2011-05-17,0.0,0.0,3,-0.0456,0.4103,0.0,18.975683212280277,19.114982914782846,18.782211731264532,18.88281625192181,82882100,0.4506014936246139
2011-05-18,0.1167,0.1258,3,0.0,0.0,0.3333,19.107250213623047,19.1459439322274,18.766739880835907,18.983428542804223,53931100,0.6933452665231377
2011-05-19,0.0,0.0,2,0.0,0.0,0.0,19.13045692443848,19.254278537458525,18.96020257555342,19.231062907561054,37783600,0.12145500035838364
2011-05-20,0.0,,1,0.296,,0.0,18.95247840881348,19.24655607749821,18.91378467791501,19.13047193266037,45451500,-0.9303411639773107
2011-05-23,-0.0444,0.077,3,0.2265,0.1973,0.0,18.70482444763184,18.76673526782308,18.59648088131476,18.735779119692264,52692500,-1.3067101612761811
2011-05-24,0.075,0.4272,4,0.0537,0.3505,0.5,18.689350128173828,18.79769519232733,18.60422365585333,18.72804532111104,47691800,-0.08272902801806925
2011-05-25,0.2611,0.1833,9,0.286,0.2555,0.7778,18.720304489135746,18.813169991147248,18.697087375597597,18.704826413443644,34904200,0.16562566782487576
2011-05-26,0.0,0.0,2,-0.2712,0.3835,0.0,19.091766357421875,19.37036577047845,18.82090598095801,18.84412309073616,78016600,1.9842725768787872
2011-05-27,-0.1685,0.1754,3,-0.1133,0.1963,0.0,19.161420822143555,19.269764408375345,19.07629287520677,19.09950999057244,50251000,0.3648403370209996
2011-05-31,0.125,0.2764,7,0.1358,0.1303,0.4286,19.354894638061523,19.393588358830577,19.11499032193756,19.31619944122164,60196300,1.0097049572356465
2011-06-01,0.0,0.0,3,0.2326,0.2083,0.0,18.906044006347656,19.42454792646369,18.85961123805892,19.339419954541764,74033500,-2.3190548959703405
2011-06-02,0.0,,1,0.0,,0.0,18.743520736694336,19.07629199455325,18.712566060373124,18.952470337127227,51487800,-0.8596365775873194
2011-06-03,0.0,0.0,3,0.1589,0.2752,0.0,18.503623962402344,18.681617482612523,18.44945214982283,18.611967587561377,60697700,-1.279891743189654
2011-06-06,0.0953,0.0975,7,-0.0653,0.2727,0.4286,18.58100128173828,18.766733727063254,18.395268836413305,18.48813432104066,54778700,0.41817386417473124
2011-06-07,0.1,0.2236,5,0.147,0.3287,0.2,18.61969947814941,18.704827422979932,18.495877818070813,18.64291659294064,41112600,0.2082675514863741
2011-06-08,0.125,0.1488,8,0.256,0.2766,0.375,18.52683448791504,18.588745319681284,18.46492365614879,18.495878333996583,42205000,-0.49874591339860164
2011-06-09,0.0114,0.2903,7,0.0492,0.3025,0.1429,18.542320251464844,18.60423258989565,18.43397661135372,18.581015462984094,42878700,0.08358558802856741
2011-06-10,0.0,0.0,6,0.0501,0.1226,0.0,18.348840713500977,18.58874649330375,18.33336411163528,18.58874649330375,49327200,-1.043448367517985
2011-06-13,0.0,0.0,2,0.0,0.0,0.0,18.604223251342773,18.720305875489057,18.34110184937352,18.41075171907542,47572500,1.3918183814952911
2011-06-14,-0.0142,0.0284,4,0.2057,0.2555,0.0,18.743520736694336,18.921515660806016,18.72030509847108,18.80543156540735,42894500,0.7487412049923092
2011-06-15,0.1591,0.2362,4,-0.0141,0.2457,0.5,18.3720645904541,18.581014291267547,18.31789277381461,18.57327524945172,49410200,-1.981784273394438
2011-06-16,0.125,0.3307,3,0.1947,0.191,0.3333,18.573266983032227,18.65065589067565,18.302406544315545,18.379795451958973,57184100,1.0951539582691572
2011-06-17,0.0,0.0,7,-0.1946,0.1397,0.0,18.774477005004883,18.805431681517216,18.557788365136144,18.74352085242195,83320400,1.0833313393732613
2011-06-20,0.0189,0.1457,5,0.1665,0.2294,0.2,18.936994552612305,19.08403334212624,18.69709024682592,18.704829285860416,54338400,0.8656302253537973
2011-06-21,0.05,0.0707,2,0.2997,0.1723,0.0,19.161420822143555,19.238809730625118,18.88282134203821,18.97568832743021,49708700,1.1851208432664961
2011-06-22,0.0,0.0,3,0.0,0.0,0.0,19.076295852661133,19.200117535129625,19.02986309075317,19.037602130416317,44287300,-0.4442518656239125
2011-06-23,-0.075,0.15,4,-0.0567,0.3273,0.0,19.06081962585449,19.07629770668509,18.72804974442285,18.91378228617692,59470400,-0.08112804983827493
2011-06-24,0.1167,0.2593,2,0.2502,0.1728,0.5,18.8054313659668,18.99116532620663,18.72030489993333,18.96794821215901,101387200,-1.339859800893739
2011-06-27,0.0,0.0,3,0.0,0.0,0.0,19.501924514770508,19.703133542032305,18.751254276172425,18.751254276172425,92044200,3.70368078907346
2011-06-28,-0.04,0.0894,5,-0.3966,0.3744,0.0,19.96626091003418,20.059127892065536,19.47097427538856,19.57931785769964,81032100,2.3809772974558996
2011-06-29,0.0,0.0,6,0.1318,0.3228,0.0,19.82696914672852,19.896617560981724,19.625758516466227,19.896617560981724,66051000,-0.6976356962041796
2011-06-30,0.203,0.0061,4,0.381,0.0396,1.0,20.12103271484375,20.12103271484375,19.857911399717874,19.91982221056689,52535400,1.4831493706326304
2011-07-01,0.0292,0.1418,6,0.1601,0.2048,0.1667,20.136520385742188,20.252603026912443,19.997220625909534,20.066870505825865,52906200,0.0769725446895686
2011-07-05,0.0375,0.075,4,0.2457,0.1907,0.25,20.144264221191406,20.23712976580845,20.04365815910652,20.198436034896552,37805300,0.03845667126631813
2011-07-06,0.0338,0.0586,7,0.0455,0.1203,0.1429,20.37643051147461,20.407386678508413,20.090091870697076,20.097830912455525,48744200,1.1525180951457603
2011-07-07,0.0,0.0,3,0.1808,0.171,0.0,20.716928482055664,20.80205493794893,20.39963534155342,20.500239871634697,51946500,1.6710383616468594
2011-07-08,0.0889,0.0192,3,-0.0987,0.1709,0.0,20.8330192565918,20.87945202129538,20.515725991653884,20.538943112041164,58320700,0.5603667292508607
2011-07-11,0.0,0.324,5,-0.121,0.3936,0.2,20.608577728271484,20.74013837027396,20.50023419111768,20.60084016939192,43999800,-1.0773355775078097
2011-07-12,0.0491,0.0592,6,0.1337,0.3274,0.1667,20.53894424438477,20.732415830065538,20.384166385411724,20.546681808869465,47319300,-0.33788592694191655
2011-07-13,-0.125,0.458,6,-0.0553,0.4429,0.3333,20.608577728271484,20.86395997732688,20.51571226101679,20.585362099492805,40861800,0.33903146655531735
2011-07-14,0.057,0.1274,5,-0.0507,0.2912,0.2,20.48476791381836,20.90266718524925,20.399641432507902,20.60085202881861,46382300,-0.6007683600759983
2011-07-15,-0.0417,0.0722,3,0.0,0.0,0.0,20.72467994689941,20.840762620778776,20.484774081334617,20.484774081334617,49132400,1.1711728152859147
2011-07-18,-0.0237,0.053,5,0.0592,0.1324,0.0,20.577638626098636,20.81754298667928,20.322256183913787,20.608593313235925,44501900,-0.7094986324397867
